job_id,posted_date,company,job_title,location,employment_type,experience_level,salary_min_lpa,salary_max_lpa,job_description,source
KAGGLE_000041,2026-05-03,company_075,data scientist,"Atlanta, GA",Unknown,Senior,94.53,94.53,"data scientist role. requiring skills: ['sql', 'machine learning', 'tableau', 'python']. seniority level: Senior. work mode/status: Unknown. company: company_075. location: Atlanta, GA. industry: Technology.",kaggle
KAGGLE_000042,2026-03-23,company_077,data scientist,United States . Fully Remote,remote,Senior,139.74,147.97,"data scientist role. requiring skills: ['sql', 'machine learning', 'tableau', 'python']. seniority level: Senior. work mode/status: remote. company: company_077. location: United States . Fully Remote. industry: Technology.",kaggle
KAGGLE_000043,2026-05-14,company_078,data scientist,"San Diego, CA",on-site,Senior,126.59,126.59,"data scientist role. requiring skills: ['pytorch', 'python', 'docker', 'sql', 'neural network', 'kubernetes', 'tensorflow']. seniority level: Senior. work mode/status: on-site. company: company_078. location: San Diego, CA. industry: Technology.",kaggle
KAGGLE_000044,2026-05-15,company_080,data scientist,"Toronto, Ontario, Canada . Montreal, Quebec, Canada . Hybrid",hybrid,Senior,66.37,66.37,"data scientist role. requiring skills: ['machine learning', 'r', 'python']. seniority level: Senior. work mode/status: hybrid. company: company_080. location: Toronto, Ontario, Canada . Montreal, Quebec, Canada . Hybrid. industry: Finance.",kaggle
KAGGLE_000045,2026-05-17,company_081,data scientist,"New York, NY . Hybrid",hybrid,Senior,121.66,152.07,"data scientist role. requiring skills: []. seniority level: Senior. work mode/status: hybrid. company: company_081. location: New York, NY . Hybrid. industry: Technology.",kaggle
KAGGLE_000046,2026-05-09,company_084,data scientist,On-site,on-site,Senior,205.66,205.66,data scientist role. requiring skills: []. seniority level: Senior. work mode/status: on-site. company: company_084. location: On-site. industry: Technology.,kaggle
KAGGLE_000047,2026-05-15,company_089,data scientist,"New York, NY",Unknown,Senior,123.31,143.86,"data scientist role. requiring skills: ['aws', 'git', 'python', 'sql', 'machine learning']. seniority level: Senior. work mode/status: Unknown. company: company_089. location: New York, NY. industry: Finance.",kaggle
KAGGLE_000048,2026-05-08,company_049,machine learning engineer,"Seattle, WA",Unknown,Senior,145.97,204.35,"machine learning engineer role. requiring skills: ['pandas', 'pytorch', 'aws', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure', 'tensorflow']. seniority level: Senior. work mode/status: Unknown. company: company_049. location: Seattle, WA. industry: Technology.",kaggle
KAGGLE_000049,2026-05-15,company_092,data scientist,"McLean, VA . Hybrid",hybrid,Senior,83.55,155.16,"data scientist role. requiring skills: ['java', 'machine learning', 'r', 'python']. seniority level: Senior. work mode/status: hybrid. company: company_092. location: McLean, VA . Hybrid. industry: Technology.",kaggle
KAGGLE_000050,2026-05-11,company_093,data scientist,"Seattle, Washington, United States . On-site",on-site,Lead,189.06,205.5,"data scientist role. requiring skills: []. seniority level: Lead. work mode/status: on-site. company: company_093. location: Seattle, Washington, United States . On-site. industry: Technology.",kaggle
KAGGLE_000051,2026-02-23,company_094,data scientist,"Warsaw, Mazowieckie, Poland . Prague, Prague, Czechia . Kyiv, Kyiv City, Ukraine",Unknown,Senior,60.83,78.1,"data scientist role. requiring skills: ['pandas', 'pytorch', 'r', 'python', 'machine learning', 'tensorflow']. seniority level: Senior. work mode/status: Unknown. company: company_094. location: Warsaw, Mazowieckie, Poland . Prague, Prague, Czechia . Kyiv, Kyiv City, Ukraine. industry: Technology.",kaggle
KAGGLE_000052,2026-02-23,company_095,data scientist,On-site,on-site,Senior,110.98,172.63,data scientist role. requiring skills: []. seniority level: Senior. work mode/status: on-site. company: company_095. location: On-site. industry: Technology.,kaggle
KAGGLE_000053,2026-05-03,company_096,data scientist,"San Francisco, California, United States . On-site",on-site,Senior,197.28,246.6,"data scientist role. requiring skills: []. seniority level: Senior. work mode/status: on-site. company: company_096. location: San Francisco, California, United States . On-site. industry: Finance.",kaggle
KAGGLE_000054,2025-12-23,company_098,data scientist,"Bangalore, Karnataka",Unknown,Unknown,37.17,37.17,"data scientist role. requiring skills: []. seniority level: Unknown. work mode/status: Unknown. company: company_098. location: Bangalore, Karnataka. industry: Technology.",kaggle
KAGGLE_000055,2026-05-16,company_099,data scientist,"Toronto, Ontario, Canada . Hybrid",hybrid,Senior,67.62,71.27,"data scientist role. requiring skills: ['sql', 'tableau', 'python']. seniority level: Senior. work mode/status: hybrid. company: company_099. location: Toronto, Ontario, Canada . Hybrid. industry: Technology.",kaggle
KAGGLE_000056,2026-02-23,company_100,data scientist,"Rock Island, IL . On-site",on-site,Senior,69.9,116.5,"data scientist role. requiring skills: ['scikit-learn', 'r', 'python', 'java', 'machine learning']. seniority level: Senior. work mode/status: on-site. company: company_100. location: Rock Island, IL . On-site. industry: Technology.",kaggle
KAGGLE_000057,2026-05-15,company_101,data scientist,"Cambridge, England, United Kingdom",Unknown,Mid,28.06,28.06,"data scientist role. requiring skills: []. seniority level: Mid. work mode/status: Unknown. company: company_101. location: Cambridge, England, United Kingdom. industry: Education.",kaggle
KAGGLE_000058,2026-05-19,company_103,data scientist,"Oregon, United States . Fully Remote",remote,Mid,17.48,88.53,"data scientist role. requiring skills: ['pandas', 'powerbi', 'r', 'python', 'sql', 'neural network', 'machine learning', 'deep learning', 'tableau']. seniority level: Mid. work mode/status: remote. company: company_103. location: Oregon, United States . Fully Remote. industry: Manufacturing.",kaggle
KAGGLE_000059,2026-05-19,company_106,machine learning engineer,"Pune, Maharashtra, India",Unknown,Senior,24.08,24.08,"machine learning engineer role. requiring skills: ['spark', 'aws', 'powerbi', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning', 'azure']. seniority level: Senior. work mode/status: Unknown. company: company_106. location: Pune, Maharashtra, India. industry: Logistics.",kaggle
KAGGLE_000060,2026-05-15,company_089,data scientist,"Denver, CO",Unknown,Senior,123.3,143.85,"data scientist role. requiring skills: ['aws', 'git', 'python', 'sql', 'machine learning']. seniority level: Senior. work mode/status: Unknown. company: company_089. location: Denver, CO. industry: Finance.",kaggle
KAGGLE_000061,2026-04-23,company_112,data scientist,"San Francisco, California, United States . On-site",on-site,Senior,133.93,133.93,"data scientist role. requiring skills: []. seniority level: Senior. work mode/status: on-site. company: company_112. location: San Francisco, California, United States . On-site. industry: Technology.",kaggle
KAGGLE_000062,2026-05-15,company_113,data scientist,"Charlotte, NC",on-site,Lead,91.74,174.27,"data scientist role. requiring skills: ['sql', 'deep learning', 'machine learning']. seniority level: Lead. work mode/status: on-site. company: company_113. location: Charlotte, NC. industry: Retail.",kaggle
KAGGLE_000063,2026-04-23,company_115,data scientist,"Bengaluru, Karnataka, India . Hybrid",hybrid,Senior,21.78,21.78,"data scientist role. requiring skills: ['pytorch', 'aws', 'python', 'sql', 'gcp', 'azure', 'tensorflow']. seniority level: Senior. work mode/status: hybrid. company: company_115. location: Bengaluru, Karnataka, India . Hybrid. industry: Finance.",kaggle
KAGGLE_000064,2026-05-21,company_116,data scientist,"Chennai, Tamil Nadu, India",Unknown,Senior,12.5,12.5,"data scientist role. requiring skills: ['pandas', 'numpy', 'pytorch', 'powerbi', 'git', 'scikit-learn', 'python', 'java', 'sql', 'neural network', 'gcp', 'machine learning', 'matplotlib', 'tensorflow']. seniority level: Senior. work mode/status: Unknown. company: company_116. location: Chennai, Tamil Nadu, India. industry: Technology.",kaggle
KAGGLE_000065,2026-05-08,company_119,data scientist,"Menlo Park, CA . On-site",on-site,Senior,147.14,172.62,"data scientist role. requiring skills: []. seniority level: Senior. work mode/status: on-site. company: company_119. location: Menlo Park, CA . On-site. industry: Finance.",kaggle
KAGGLE_000066,2026-05-08,company_014,data scientist,"Berkeley, CA",Unknown,Mid,73.97,109.93,"data scientist role. requiring skills: ['machine learning', 'database']. seniority level: Mid. work mode/status: Unknown. company: company_014. location: Berkeley, CA. industry: Education.",kaggle
KAGGLE_000067,2026-04-23,company_121,data scientist,"Remote, United States . Fully Remote",remote,Senior,121.09,156.68,"data scientist role. requiring skills: []. seniority level: Senior. work mode/status: remote. company: company_121. location: Remote, United States . Fully Remote. industry: Technology.",kaggle
KAGGLE_000068,2026-02-23,company_100,data scientist,"Rock Island, IL . On-site",on-site,Senior,69.9,116.5,"data scientist role. requiring skills: ['scikit-learn', 'r', 'python', 'java', 'machine learning']. seniority level: Senior. work mode/status: on-site. company: company_100. location: Rock Island, IL . On-site. industry: Technology.",kaggle
KAGGLE_000069,2026-05-19,company_067,data scientist,"San Francisco, CA, US . Remote, US . Fully Remote",remote,Senior,275.96,275.96,"data scientist role. requiring skills: []. seniority level: Senior. work mode/status: remote. company: company_067. location: San Francisco, CA, US . Remote, US . Fully Remote. industry: Technology.",kaggle
KAGGLE_000070,2026-05-08,company_126,data scientist,United States,Unknown,Senior,25.65,25.65,data scientist role. requiring skills: []. seniority level: Senior. work mode/status: Unknown. company: company_126. location: United States. industry: Finance.,kaggle
KAGGLE_000071,2026-05-22,company_021,data scientist,Fully Remote,remote,Senior,230.16,230.16,data scientist role. requiring skills: []. seniority level: Senior. work mode/status: remote. company: company_021. location: Fully Remote. industry: Technology.,kaggle
KAGGLE_000072,2026-05-15,company_129,data scientist,Fully Remote,remote,Unknown,82.2,205.5,data scientist role. requiring skills: []. seniority level: Unknown. work mode/status: remote. company: company_129. location: Fully Remote. industry: Finance.,kaggle
KAGGLE_000073,2026-05-16,company_022,data scientist,"Pittsburgh, PA",Unknown,Senior,87.14,87.14,"data scientist role. requiring skills: ['python', 'java', 'sql', 'kubernetes', 'azure']. seniority level: Senior. work mode/status: Unknown. company: company_022. location: Pittsburgh, PA. industry: Technology.",kaggle
KAGGLE_000074,2026-04-23,company_134,data scientist,"Seattle, WA . Seattle, Washington, États-Unis . Seattle, Washington, USA",on-site,Senior,197.28,197.28,"data scientist role. requiring skills: ['amazon', 'r', 'python', 'machine learning', 'deep learning']. seniority level: Senior. work mode/status: on-site. company: company_134. location: Seattle, WA . Seattle, Washington, États-Unis . Seattle, Washington, USA. industry: Retail.",kaggle
KAGGLE_000075,2026-05-22,company_135,machine learning engineer,"Taipei, Taiwan . On-site",on-site,Unknown,32.71,32.71,"machine learning engineer role. requiring skills: []. seniority level: Unknown. work mode/status: on-site. company: company_135. location: Taipei, Taiwan . On-site. industry: Technology.",kaggle
KAGGLE_000076,2026-04-23,company_137,data scientist,"Denver, CO . Hybrid",hybrid,Senior,124.95,124.95,"data scientist role. requiring skills: ['spark', 'r', 'python', 'database', 'machine learning']. seniority level: Senior. work mode/status: hybrid. company: company_137. location: Denver, CO . Hybrid. industry: Technology.",kaggle
KAGGLE_000077,2026-04-23,company_141,data scientist,"Fort Worth, TX",remote,Senior,90.42,119.19,"data scientist role. requiring skills: ['machine learning']. seniority level: Senior. work mode/status: remote. company: company_141. location: Fort Worth, TX. industry: Technology.",kaggle
KAGGLE_000078,2026-05-22,company_145,data scientist,"Austin, Texas . Hybrid",hybrid,Senior,180.84,180.84,"data scientist role. requiring skills: []. seniority level: Senior. work mode/status: hybrid. company: company_145. location: Austin, Texas . Hybrid. industry: Technology.",kaggle
KAGGLE_000079,2026-05-12,company_146,data scientist,"Toronto, ON . Hybrid",hybrid,Senior,138.1,189.88,"data scientist role. requiring skills: []. seniority level: Senior. work mode/status: hybrid. company: company_146. location: Toronto, ON . Hybrid. industry: Finance.",kaggle
KAGGLE_000080,2026-05-18,company_148,data scientist,"Orlando, FL",Unknown,Senior,79.37,79.37,"data scientist role. requiring skills: ['spark', 'r', 'python', 'sql', 'hadoop', 'machine learning']. seniority level: Senior. work mode/status: Unknown. company: company_148. location: Orlando, FL. industry: Finance.",kaggle
KAGGLE_000081,2026-05-08,company_153,data scientist,United States,on-site,Senior,183.31,228.52,"data scientist role. requiring skills: ['pytorch', 'spark', 'aws', 'scikit-learn', 'python', 'docker', 'deep learning', 'java', 'sql', 'machine learning', 'gcp', 'kubernetes', 'hadoop', 'azure', 'tensorflow']. seniority level: Senior. work mode/status: on-site. company: company_153. location: United States. industry: Technology.",kaggle
KAGGLE_000082,2026-05-08,company_155,data scientist,"All, MO",remote,Lead,131.52,164.4,"data scientist role. requiring skills: ['aws', 'scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']. seniority level: Lead. work mode/status: remote. company: company_155. location: All, MO. industry: Technology.",kaggle
KAGGLE_000083,2026-05-15,company_156,machine learning engineer,"Mountain View, California (HQ) . On-site",on-site,Unknown,124.94,187.42,"machine learning engineer role. requiring skills: []. seniority level: Unknown. work mode/status: on-site. company: company_156. location: Mountain View, California (HQ) . On-site. industry: Technology.",kaggle
KAGGLE_000084,2026-05-19,company_158,data scientist,"Reston, VA",on-site,Senior,150.84,203.39,"data scientist role. requiring skills: ['aws', 'git', 'python', 'java', 'kubernetes', 'machine learning']. seniority level: Senior. work mode/status: on-site. company: company_158. location: Reston, VA. industry: Technology.",kaggle
KAGGLE_000085,2026-03-23,company_159,data scientist,Fully Remote,remote,Senior,120.02,139.74,data scientist role. requiring skills: []. seniority level: Senior. work mode/status: remote. company: company_159. location: Fully Remote. industry: Technology.,kaggle
KAGGLE_000086,2026-03-23,company_164,data scientist,"Redwood City, US, California . Hybrid",hybrid,Senior,134.81,175.91,"data scientist role. requiring skills: []. seniority level: Senior. work mode/status: hybrid. company: company_164. location: Redwood City, US, California . Hybrid. industry: Technology.",kaggle
KAGGLE_000087,2026-05-02,company_166,data scientist,"Veldhoven, North Brabant, Netherlands . On-site",on-site,Senior,74.13,74.13,"data scientist role. requiring skills: ['r']. seniority level: Senior. work mode/status: on-site. company: company_166. location: Veldhoven, North Brabant, Netherlands . On-site. industry: Technology.",kaggle
KAGGLE_000088,2026-05-19,company_169,data scientist,Fully Remote,remote,Senior,202.3,202.3,data scientist role. requiring skills: []. seniority level: Senior. work mode/status: remote. company: company_169. location: Fully Remote. industry: Technology.,kaggle
KAGGLE_000089,2026-05-13,company_170,data scientist,"Ridgefield, CT",Unknown,Senior,115.09,182.49,"data scientist role. requiring skills: ['pytorch', 'git', 'scikit-learn', 'python', 'docker', 'kubernetes', 'machine learning', 'tensorflow']. seniority level: Senior. work mode/status: Unknown. company: company_170. location: Ridgefield, CT. industry: Technology.",kaggle
KAGGLE_000090,2026-05-08,company_171,data scientist,"Pune, Maharashtra, India",Unknown,Senior,24.55,47.43,"data scientist role. requiring skills: ['pandas', 'pytorch', 'r', 'python', 'java', 'database', 'keras', 'machine learning', 'matplotlib', 'tensorflow']. seniority level: Senior. work mode/status: Unknown. company: company_171. location: Pune, Maharashtra, India. industry: Technology.",kaggle
KAGGLE_000091,2026-04-23,company_173,data scientist,"San Mateo, CA . On-site",on-site,Unknown,98.64,110.97,"data scientist role. requiring skills: []. seniority level: Unknown. work mode/status: on-site. company: company_173. location: San Mateo, CA . On-site. industry: Technology.",kaggle
KAGGLE_000092,2026-05-12,company_176,data scientist,On-site,on-site,Senior,105.47,166.87,data scientist role. requiring skills: []. seniority level: Senior. work mode/status: on-site. company: company_176. location: On-site. industry: Technology.,kaggle
KAGGLE_000093,2026-04-23,company_177,data scientist,"Omaha, NE . Newport Beach, CA . Massachusetts, United States",on-site,Senior,134.5,164.39,"data scientist role. requiring skills: ['scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']. seniority level: Senior. work mode/status: on-site. company: company_177. location: Omaha, NE . Newport Beach, CA . Massachusetts, United States. industry: Finance.",kaggle
KAGGLE_000094,2026-05-20,company_178,data scientist,"Torrance, CA",on-site,Senior,57.55,57.55,"data scientist role. requiring skills: ['spark', 'r', 'python', 'hadoop', 'machine learning']. seniority level: Senior. work mode/status: on-site. company: company_178. location: Torrance, CA. industry: Technology.",kaggle
