job_id,posted_date,company,job_title,location,employment_type,experience_level,salary_min_lpa,salary_max_lpa,job_description,source,experience_source,salary_source,salary_is_predicted,api_salary_min_raw,api_salary_max_raw,category,source_query,source_location,redirect_url
INDIA2025_300925023471,2026-05-20,AnnexMed,Annexmed / Hiring / Data Mining executive,Chennai,full_time,Entry,4.0,6.0,"Annexmed / Hiring / Data Mining executive role. Required skills: Data Mining,Strong Communication Skills,Database Building,Data Research,Lead Generation,Business Development,Communication skills,Research. Experience level: Entry. Employment type: full_time. Company: AnnexMed. Location: Chennai. Job description: We are looking for a motivated and enthusiastic Data Mining Executive (Fresher) to join our analytics team This is an excellent opportunity for recent graduates who are eager to start their career in data mining and analytics Qualifications: . Bachelors degree in Any Field .",indian_job_market_2025,,,,,,,,,
INDIA2025_300925014512,2026-05-20,Park Global Hr Services,Digital Marketing Executive,Coimbatore,full_time,Mid,2.0,6.0,"Digital Marketing Executive role. Required skills: Digital Marketing,SEO,Search Engine Optimization,Campaign Management,Social Media Marketing,Social Media Optimization,Content Optimization,Content. Experience level: Mid. Employment type: full_time. Company: Park Global Hr Services. Location: Coimbatore. Job description: Job Description: SEO Strategy & Execution Develop, implement, and manage on-page, off-page, and technical SEO strategies. Conduct keyword research, competitor analysis, and backlink strategies to drive organic traffic. Optimize website structure, landing pages, and content for search engines. Monitor rankings, site performance, and SEO metrics using analytics tools. Campaign Management Plan, execute, and optimize multi-channel campaigns (Google Ads, Meta Ads, LinkedIn Ads, etc.). Define campaign objectives, target audiences, and budgets for lead generation and brand awareness. Track and analyze performance metrics (CTR, CPC, CPL, ROI) and provide actionable insights. Collaborate with creative, content, and web teams for ad creatives and landing pages. Content & Digital Strategy Work closely with content creators to ensure SEO best practices in blogs, web pages and ",indian_job_market_2025,,,,,,,,,
INDIA2025_240925018125,2026-05-14,Kiya.ai,Java Full Stack Developer,"Hybrid - Mumbai, Mumbai Suburban, Mumbai (All Areas)",full_time,Mid,5.0,14.0,"Java Full Stack Developer role. Required skills: Java,API,Microservices,Angular,SQL,Core Java,Hibernate,Rest. Experience level: Mid. Employment type: full_time. Company: Kiya.ai. Location: Hybrid - Mumbai, Mumbai Suburban, Mumbai (All Areas). Job description: Experience in Agile SCRUM and DevSecOps Experience - 5+ Years Knowledge / experience on dynatrace",indian_job_market_2025,,,,,,,,,
INDIA2025_240925933387,2026-05-14,Sapphire Manpower Services,DotNet SDET QA ( apply only who Can visit Hyderabad Office on tomorrow,Hyderabad,full_time,Mid,6.0,13.0,"DotNet SDET QA ( apply only who Can visit Hyderabad Office on tomorrow role. Required skills: Api Automation,QA Testing,SDET,.Net,Spec Flow,Bdd,QA Automation,Cucumber. Experience level: Mid. Employment type: full_time. Company: Sapphire Manpower Services. Location: Hyderabad. Job description: GCP preferred Handson experience in backend API automation testing using Rest assured API with Specflow or any equivalent API automation testing tool Having very good knowledge on all method types Having strong knowledge in C# OOPS concepts,Control flow,Method handling Data Structures Experience with relational databases like SQL Server",indian_job_market_2025,,,,,,,,,
INDIA2025_300925028787,2026-05-20,Pixelcode Technologies India,Senior Business Analyst,Remote,full_time,Senior,1.8,3.0,"Senior Business Analyst role. Required skills: Business Analysis,API,Python,Senior,Analysis. Experience level: Senior. Employment type: full_time. Company: Pixelcode Technologies India. Location: Remote. Job description: Experience with commercial data products or data-driven businesses",indian_job_market_2025,,,,,,,,,
INDIA2025_240925012272,2026-05-14,Accord Infosystems,AVP IT Techno Functional,Thane,full_time,Senior,30.0,32.5,"AVP IT Techno Functional role. Required skills: ESB,Requirement Gathering,Dms,Lentra,Project Management,Brd,FSD,UAT. Experience level: Senior. Employment type: full_time. Company: Accord Infosystems. Location: Thane. Job description: Documenting the BRD, FSD/UD & Project Planning Lead and manage “Change The Business” CRs & Projects for ESB,Lentra & DMS applications Lead and manage “Run The Business” Production support for ESB,Lentra & DMS applications. hands on oracle SQL, PL/SQL",indian_job_market_2025,,,,,,,,,
INDIA2025_230925930514,2026-05-13,Purview India Consulting And  Services  Llp,Data Solution Architect,Hyderabad,full_time,Senior,20.0,30.0,"Data Solution Architect role. Required skills: Er Studio,Data Modeling,ERwin,AWS,SQL,NoSQL,GCP,Data Architecture. Experience level: Senior. Employment type: full_time. Company: Purview India Consulting And Services Llp. Location: Hyderabad. Job description: In this role, you will: Architect scalable and secure data solutions as required. Take on general solution architecture tasks and deliverables as part of the wider Solution Architecture team where required. Develop logical and physical data models to meet business requirements, contributing to conceptual models where required. Collaborate with business analysts and application teams to gather and understand data requirements. Create clear and effective data models, solutions and architectures, ensuring alignment with the overall data architecture and project goals. Ensure that the data architecture and models support real-time, near-real-time and batch data processing where needed. Ensure smooth data integration and flow across various platforms and systems, including integration of data sources into data refineries for analysis and reporting. Provide training and support to other teams in understanding, using and implementing d",indian_job_market_2025,,,,,,,,,
INDIA2025_31025011496,2026-05-23,Digital Brain Media,Seo Executive,Lucknow(Gomti Nagar),full_time,Entry,2.0,6.0,"Seo Executive role. Required skills: Technical Seo,Google Analytics,Semantic,Keyword Research,Semrush,Off-page Optimization,Search Engine Optimization,On-page Optimization. Experience level: Entry. Employment type: full_time. Company: Digital Brain Media. Location: Lucknow(Gomti Nagar). Job description: Candidates Must have exp in: Technical and Semantic SEO Keyword Research Digital Marketing Google and Meta Ads",indian_job_market_2025,,,,,,,,,
INDIA2025_230925030914,2026-05-13,Dhira Software Labs,Associate ML Scientist (Computer Vision) arun.raja@dhira.ai,Remote,full_time,Associate,10.0,20.0,"Associate ML Scientist (Computer Vision) arun.raja@dhira.ai role. Required skills: Computer Vision,Machine Learning,Ml,Machine,Computer,Vision. Experience level: Associate. Employment type: full_time. Company: Dhira Software Labs. Location: Remote. Job description: Educational Background: Bachelors,Master s,or equivalent degree in Computer Science,Electrical Engineering,Applied Mathematics,Statistics,Physics,or a related quantitative discipline Technical Skills: . Proficiency in Python and ML libraries such as TensorFlow,PyTorch,OpenCV,and scikit-learn. . Preferred Qualifications Experience: 36 years.",indian_job_market_2025,,,,,,,,,
INDIA2025_260925924121,2026-05-16,Talent21 Management  Shared Services Pvt. ltd.,Full stack .Net Developer,Pune,full_time,Mid,6.0,8.0,"Full stack .Net Developer role. Required skills: .net,c#,front end,angular,css,.net core,html,javascript. Experience level: Mid. Employment type: full_time. Company: Talent21 Management Shared Services Pvt. ltd.. Location: Pune. Job description: Bachelors degree in computer science or a related field (or equivalent work experience) Required Skills .NET framework,SQL Server,Angular .NET,JavaScript,RESTful API development,communication,MySQL,debugging,.NET Core,HTML CSS,collaboration,problem solving,Angular framework . Exp with Banking domain is preferred Experience with .NET Core and RESTful API development",indian_job_market_2025,,,,,,,,,
INDIA2025_180925035268,2026-05-16,Logicmonitor,Senior Salesforce Analyst,Pune,full_time,Mid,15.0,25.0,"Senior Salesforce Analyst role. Required skills: Salesforce,Configuration Management,Salesforce configurations,System Administration,Flow Automation Builder,Apex,SQL,Flow. Experience level: Mid. Employment type: full_time. Company: Logicmonitor. Location: Pune. Job description: Collaborate closely with IT for production support and incident response. What Youll Need: . 4+ years experience administering Salesforce in a SaaS or tech-driven environment Experience managing Salesforce configuration,security,user management,and third-party integrations Experience using AI tools to enhance productivity,innovation,or problem-solving",indian_job_market_2025,,,,,,,,,
INDIA2025_230925036414,2026-05-13,Autoplant Systems,Python Developer,Gurugram,full_time,Mid,9.0,19.0,"Python Developer role. Required skills: Golang,Iot Protocols,Cassandra,MongoDB,Python Development,Mqtt,IOT,Python. Experience level: Mid. Employment type: full_time. Company: Autoplant Systems. Location: Gurugram. Job description: Hiring a Senior Python Developer 7+ yrs exp with strong ML expertise. Role involves Python app dev, ML model integration, data science collaboration, code review, mentoring, and performance optimization. Must have Python, ML, and data science skills.",indian_job_market_2025,,,,,,,,,
INDIA2025_300925014076,2026-05-20,Daksh Consultancy Services,Frontend Technical Architects: Max 30 Days Joiners,Chennai,full_time,Lead,30.0,40.0,"Frontend Technical Architects: Max 30 Days Joiners role. Required skills: ReactJS,JQuery,Angular,NodeJS,ExpressJS,CSS,HTML5,CI/CD. Experience level: Lead. Employment type: full_time. Company: Daksh Consultancy Services. Location: Chennai. Job description: Hiring Technical Architects: **Must Have Skills: Angular, NodeJS, ExpressJS, ReactJS, JQuery, HTML5, CSS3, JavaScript/ ES6, CI/CD, Jenkins, Frontend Design & Development, SOA Web Applications**Nice-Have (Not Mandatory): NoSQL, Elasticsearch, Python, R, Unit Test, AWS, Microservices",indian_job_market_2025,,,,,,,,,
INDIA2025_300925024736,2026-05-20,IRIS KPO Resourcing,Exciting Job Opportunity For Revenue Operations Data Analyst - Hybrid,Chennai(Nungambakkam),full_time,Mid,4.5,8.0,"Exciting Job Opportunity For Revenue Operations Data Analyst - Hybrid role. Required skills: Power Bi,Dashboards,Salesforce,salesforce CRM,Revenue Analysis,revenue operations,SFDC,Sales Operations. Experience level: Mid. Employment type: full_time. Company: IRIS KPO Resourcing. Location: Chennai(Nungambakkam). Job description: Shift Timings : 2 PM to 11 PM Candidates must have experience on sales or revenue operations. No of vacancies : 3. Design,build,and maintain dynamic Power BI dashboards to track KPIs across sales,marketing,and customer success We are currently recruiting only candidates with 4 to 8 Years of experienced candidate. Experience in power BI tools are mandatory",indian_job_market_2025,,,,,,,,,
INDIA2025_260925005147,2026-05-16,V Mart,Walk-in Interview! Store Manager/ASM in Jammu & Kashmir,"Srinagar, Jammu",full_time,Mid,3.0,6.5,"Walk-in Interview! Store Manager/ASM in Jammu & Kashmir role. Required skills: Retail Store Operations,Fashion,Apparel,Store Operations,Team Handling,Shrinkage Control,Store Merchandising,Store Management. Experience level: Mid. Employment type: full_time. Company: V Mart. Location: Srinagar, Jammu. Job description: 1- Store Sales Operations 2- Profitability Management 3- Store Handling, Store Management 4- People Management, Inventory Management, Shrinkage Control, VM, 5- Marketing - BTL activities 6- Strong in Analytics', Business KnowledgeOnly from Large format fashion Retail. Good in Communication & Presentable Must be Graduate Willing to relocate Anywhere in J&KFooding+ Canteen Facilities",indian_job_market_2025,,,,,,,,,
INDIA2025_31025001571,2026-05-22,Glauben Technologies,Hiring For Python developer-Tech M-Bangalore/Chennai,"Chennai, Bengaluru",full_time,Mid,20.0,32.5,"Hiring For Python developer-Tech M-Bangalore/Chennai role. Required skills: Rest Api Development,Python,Unix,Shell,SQL,API,Development,Shell scripting. Experience level: Mid. Employment type: full_time. Company: Glauben Technologies. Location: Chennai, Bengaluru. Job description: Role & responsibilities 1. Strong experience in Python development 2. Experience in REST API 3. Experience in Unix/Shell scripring",indian_job_market_2025,,,,,,,,,
INDIA2025_31025019787,2026-05-23,Hiring Cube Technologies,Senior Sql Developer,Hyderabad,full_time,Senior,20.0,35.0,"Senior Sql Developer role. Required skills: NoSQL,Postgresql,MongoDB,SQL,MySQL,SQL Server,Server,Senior. Experience level: Senior. Employment type: full_time. Company: Hiring Cube Technologies. Location: Hyderabad. Job description: Proficient in PostgreSQL,MySQL,MS SQL Server,& other advanced SQL dialects Proficient in MongoDB,with hands-on experience in designing,querying,and",indian_job_market_2025,,,,,,,,,
INDIA2025_280925004715,2026-05-19,Fabric,AI/ML Engineer - Generative AI & LLMs,"Hyderabad, Pune",full_time,Associate,10.0,15.0,"AI/ML Engineer - Generative AI & LLMs role. Required skills: LMS,Generative Ai,Data Processing,Deep Learning,Python,Large Language Model,Transformers,AIML. Experience level: Associate. Employment type: full_time. Company: Fabric. Location: Hyderabad, Pune. Job description: Must Have Skills Fission Labs is hiring a Machine Learning Engineer (35 yrs) with hands-on experience in Python,Generative AI,LLMs,and Transformers for Hyderabad / Pune",indian_job_market_2025,,,,,,,,,
INDIA2025_250925028605,2026-05-15,I Square Tek,Data Scientist,"Hybrid - Pune, Bengaluru",full_time,Associate,5.0,10.0,"Data Scientist role. Required skills: Pytorch,Tensorflow,LLops,Gen AI,R,KubeFlow,Machine Learning,Python. Experience level: Associate. Employment type: full_time. Company: I Square Tek. Location: Hybrid - Pune, Bengaluru. Job description: Role Overview As a Junior Data Scientist in the Data & AI Delivery team, you will work closely with senior data scientists and delivery leads to design, develop, and deploy AI/ML solutions that address real-world business problems. This role is ideal for candidates who are passionate about data science, eager to learn cutting-edge AI technologies, and ready to grow into a future technical leader. Key Responsibilities Solution Development & Implementation Assist in building end-to-end data science workflows including data ingestion, preprocessing, modeling, and deployment. Assist in deploying models into applications via APIs for real-world use cases Develop, test, and validate machine learning models under guidance from senior team members. Support integration of AI/ML models into business applications and existing platforms. Data Manipulation & Analysis Perform exploratory data analysis (EDA), feature engineering, and data cleaning using Python, ",indian_job_market_2025,,,,,,,,,
INDIA2025_250925020604,2026-05-15,Conneqt,Genesys Support Engineer,Navi Mumbai,full_time,Entry,3.25,4.25,"Genesys Support Engineer role. Required skills: Genesys,Troubleshooting,Outbound,L1 Support,Ticketing Tools,Tools,Ticketing,L1. Experience level: Entry. Employment type: full_time. Company: Conneqt. Location: Navi Mumbai. Job description: Qualifications. Bachelors degree in Computer Science,Information Technology,or a related field Preferred Skills. Experience with SQL or similar database technologies",indian_job_market_2025,,,,,,,,,
INDIA2025_290925016726,2026-05-19,Novotree Minds Consulting,Dot Net Developer,Bengaluru,full_time,Mid,12.0,22.0,"Dot Net Developer role. Required skills: C#,.Net Core,.Net,Angular,SQL,Dotnet Development,ASP.Net,Entity Framework. Experience level: Mid. Employment type: full_time. Company: Novotree Minds Consulting. Location: Bengaluru. Job description: Roles and Responsibilities * Design, develop, test, and deploy scalable and maintainable .NET applications using Angular and Entity Framework. Desired Candidate Profile * Troubleshoot issues in existing applications and optimize performance for improved user experience. * Stay up-to-date with industry trends and best practices in .NET development. **Job Requirements** * Experience in .NET development with a strong understanding of Angular 14+, C#, ASP.NET, MVC, .NET Core, and SQL. * Bachelor's degree in Any Specialization (B.Tech/B.E.). * Proficiency in Angular for front-end development is an added advantage.",indian_job_market_2025,,,,,,,,,
INDIA2025_230925930365,2026-05-13,Purview India Consulting And Services,Solution Architect,Nagarkurnool,full_time,Lead,20.0,30.0,"Solution Architect role. Required skills: Java,Core Banking,Database,API,Microservices,Encryption,Architecture,Core. Experience level: Lead. Employment type: full_time. Company: Purview India Consulting And Services. Location: Nagarkurnool. Job description: 12+ years of total experience in IT and at least 3 years experience as Technical Lead or Architect with experience in managing distributed teams. Experience with analysing requirements and providing fit for purpose solution designs following best architecture practices. Effective communication skills, graphical, written and verbal for technical and non-technical audiences Experience in Architecture, Design, and Implementation of global, highly scalable, highly available, Cloud services and solutions. Experienced with Java, modern development frameworks and development CI/CD pipelines and microservices architecture / Docker / Kubernetes Experienced in designing internal/external APIs in secured manner in cloud and in on-prem environments (e.g. with Kong runtime) Experience in applying the right design patterns for cloud and hybrid architecture (e.g. GCP, AWS, Azure) Experience on designing integrations using technologies like Kaf",indian_job_market_2025,,,,,,,,,
INDIA2025_270925010006,2026-05-17,White Horse Manpower Consultancy,WFM Forecasting Specialist Data Science Optional Bangalore,Bengaluru,full_time,Associate,6.0,10.0,"WFM Forecasting Specialist Data Science Optional Bangalore role. Required skills: Forecast Analyst,Workforce Planning Specialist,WFM Forecasting Jobs,Contact Center Forecasting,Data Science Forecasting Jobs,Workforce Management Careers,Capacity Planning,WFM Analyst Hiring. Experience level: Associate. Employment type: full_time. Company: White Horse Manpower Consultancy. Location: Bengaluru. Job description: Analyze historical trends,call volumes,seasonality to predict workforce requirement Collaborate operations,scheduling,capacity teams to align forecasts with business goals",indian_job_market_2025,,,,,,,,,
INDIA2025_260925923327,2026-05-16,Talent21,Team Lead,Hyderabad(Koti +1),full_time,Mid,2.0,4.75,"Team Lead role. Required skills: insurance sales,Team Leading,Motor Insurance,Health Insurance,Target Achievement,Insurance Operations,TL,Motors. Experience level: Mid. Employment type: full_time. Company: Talent21. Location: Hyderabad(Koti +1). Job description: Preferred candidate profile . Mid-Level position with 4 to 6 years of experience in Hyderabad Experience in call audits and RAG analysis",indian_job_market_2025,,,,,,,,,
INDIA2025_260925030791,2026-05-16,RNPM Global Trading Co,Digital Marketing Executive,"Noida(Sector 63), Ghaziabad(Indirapuram +1)",full_time,Associate,2.5,6.0,"Digital Marketing Executive role. Required skills: Google AdWords,Social Media Marketing,Search Engine Optimization,Instagram Ads,SEO,Blog Submission,SEO Analysis,Keyword Analysis. Experience level: Associate. Employment type: full_time. Company: RNPM Global Trading Co. Location: Noida(Sector 63), Ghaziabad(Indirapuram +1). Job description: Manage our social media presence, digital advertising campaigns, and online brand growth. This role will handle everything from content creation to paid ads, SEO, and performance analysis to increase brand visibility and sales.knows Social media platforms & trends(Instagram Reels, Facebook Ads) Meta Ads Manager,Google Ads,Google Analytics SEO,SEM, basic WordPress/website mgmt Canva/Photoshop/Video editing tools(basic level)incentive bonus allowance paid leaves",indian_job_market_2025,,,,,,,,,
INDIA2025_31025008374,2026-05-22,Techno Facts Solutions,Data Engineer,Remote,full_time,Mid,10.0,12.0,"Data Engineer role. Required skills: Data Bricks,Airflow,Kafka,Apache,Elt,SQL,GIT,Aws Lambda. Experience level: Mid. Employment type: full_time. Company: Techno Facts Solutions. Location: Remote. Job description: Role & responsibilities Build and maintain scalable data pipelines using Databricks and Apache Spark . Develop and optimize ETL/ELT processes for structured and unstructured data. Work with Lakehouse architecture for data storage, processing, and analytics. Orchestrate pipelines using Databricks Workflows and Jobs API . Integrate AWS services such as S3, Lambda, CloudWatch . Perform performance optimization using pushdown techniques and indexing strategies. Implement data governance with Unity Catalog, security policies, and access controls. Monitor, troubleshoot, and optimize Databricks jobs and clusters . Contribute to end-to-end cloud migration projects to AWS. Work with Airflow for orchestration and Git/GitHub for code repositories. Write complex SQL queries and manage cloud-based data migration workflows. Must Have Skills Databricks, Apache Spark (hands-on development experience). AWS Data Services (S3, Lambda, CloudWatch). Strong Python programming for cloud developm",indian_job_market_2025,,,,,,,,,
INDIA2025_260925918807,2026-05-16,Talent21,Power Bi Developer,Hybrid - Hyderabad,full_time,Mid,18.0,25.0,"Power Bi Developer role. Required skills: Azure Data Factory,Power Bi,Aws Cloud,Azure Cloud,SQL,Dax,SSIS,Bi. Experience level: Mid. Employment type: full_time. Company: Talent21. Location: Hybrid - Hyderabad. Job description: Shift - 1 to 10 PM Employment Type - Full time . Required qualifications to be successful in this role Experience - 5 - 10 Yrs . Knowledge and experience on Reporting,Dashboards and Data Visualizations concepts Experience in Agile (Scrum) way of working",indian_job_market_2025,,,,,,,,,
INDIA2025_290925019901,2026-05-19,Shawne Applebee Com,AI Solutions Engineer,Hybrid - Coimbatore,full_time,Mid,8.0,12.0,"AI Solutions Engineer role. Required skills: Agentic AI,RAG Expertise,DSML,Pytorch,Tensorflow,Data Engineering,Artificial Intelligence,Application Engineering. Experience level: Mid. Employment type: full_time. Company: Shawne Applebee Com. Location: Hybrid - Coimbatore. Job description: Masters or PhD in Computer Science,AI,Machine Learning,Data Science,or related field Preferred Experience Proven experience building and fine-tuning Domain-Specific Language Models (DSLMs) Experience with Agentic AI frameworks (e.g.,LangChain,Semantic Kernel,AutoGen,Haystack,or similar orchestration layers) for building adaptive AI agents",indian_job_market_2025,,,,,,,,,
INDIA2025_290925012003,2026-05-19,Moss Adams India (now Baker Tilly),Power Bi Developer,Hybrid - Bengaluru,full_time,Mid,20.0,30.0,"Power Bi Developer role. Required skills: Power Bi,C#,AZure,Databricks,AWS,Snowfake,SQL,Scripting. Experience level: Mid. Employment type: full_time. Company: Moss Adams India (now Baker Tilly). Location: Hybrid - Bengaluru. Job description: Qualifications: . Bachelors degree required,Minimum of 3 years experience in developing Power BI reports and dashboards in a consulting or client facing environment Experience with advanced analytics techniques,including predictive modeling and machine learning",indian_job_market_2025,,,,,,,,,
INDIA2025_230925003214,2026-05-13,Bharat Digitals,Python Developer Lead,Hybrid - Chennai,full_time,Senior,15.0,30.0,"Python Developer Lead role. Required skills: API,Python,CSS,Api Integration,HTML,SQL,Rest,Django. Experience level: Senior. Employment type: full_time. Company: Bharat Digitals. Location: Hybrid - Chennai. Job description: Experience working on AWS cloud platform for deployment and management of applications",indian_job_market_2025,,,,,,,,,
INDIA2025_300625010486,2026-05-18,Optimum Data Analytics,Full Stack Developer (NodeJS + React),"Mohali, Pune",full_time,Mid,20.0,25.0,"Full Stack Developer (NodeJS + React) role. Required skills: Django,FastAPI,NodeJS,Python,SQL,Vue.js,PostgreSQL,JavaScript. Experience level: Mid. Employment type: full_time. Company: Optimum Data Analytics. Location: Mohali, Pune. Job description: Required Qualifications : . Backend - NodeJS,FastAPI,Python,Django,SQL,PostgreSQL Proficient knowledge of databases,including MS SQL and PostgreSQL Experience: 6+ years. Work Mode: Onsite. 6+ years of Demonstrable experience as a Full Stack Developer,with a solid understanding of both front-end and back-end development concepts",indian_job_market_2025,,,,,,,,,
