job_id,posted_date,company,job_title,location,employment_type,experience_level,salary_min_lpa,salary_max_lpa,job_description,source,true_role_label
JOB00011,2024-11-11,MetroTech Labs,Junior Business Analyst,Pune,Full-time,Entry,4,14,"MetroTech Labs is hiring a Junior Business Analyst in Pune. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Business Recommendations, Data Visualization, Excel, KPI Reporting, LLM, Machine Learning, Model Evaluation, SQL, Semantic Search and Stakeholder Communication. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Business Analyst
JOB00012,2024-12-08,CareerMap Technologies,Associate Data Analyst,Coimbatore,Full-time,Associate,9,14,"CareerMap Technologies is hiring a Associate Data Analyst in Coimbatore. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, Excel, KPI Reporting, Machine Learning, Model Evaluation, Power BI, Python, RAG, SQL, Statistics and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Analyst
JOB00013,2025-01-07,FutureWorks Analytics,ML Engineer,Noida,Full-time,Mid,16,20,"FutureWorks Analytics is hiring a ML Engineer in Noida. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include APIs, Docker, Econometrics, Excel, Gemini API, MLOps, Machine Learning, Model Evaluation, Power BI, Prompt Engineering, Python, Scikit-learn, Semantic Search and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,ML Engineer
JOB00014,2025-02-19,BrightPath Analytics,Data Analyst,Chennai,Full-time,Mid,10,14,"BrightPath Analytics is hiring a Data Analyst in Chennai. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Data Visualization, ETL, Excel, Gemini API, KPI Reporting, LLM, Power BI, RAG, SQL, Scikit-learn, Statistics and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Analyst
JOB00015,2025-03-18,PeopleData Systems,Senior Data Analyst,Hyderabad,Contract,Senior,18,23,"PeopleData Systems is hiring a Senior Data Analyst in Hyderabad. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, Excel, KPI Reporting, Machine Learning, OpenAI API, Power BI, SQL, Scikit-learn, Semantic Search, Statistics and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Analyst
JOB00016,2025-04-09,MetroTech Labs,Junior Data Scientist,Gurgaon,Full-time,Entry,6,12,"MetroTech Labs is hiring a Junior Data Scientist in Gurgaon. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, ETL, Gemini API, Machine Learning, Model Evaluation, OpenAI API, Python, RAG, SQL, Scikit-learn, Semantic Search, Spark and Statistics. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Scientist
JOB00017,2025-05-25,PeopleData Systems,Data Scientist,Hyderabad,Full-time,Mid,12,18,"PeopleData Systems is hiring a Data Scientist in Hyderabad. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, Econometrics, LLM, LangChain, Machine Learning, Model Evaluation, Power BI, Python, RAG, SQL, Scikit-learn, Semantic Search, Spark, Statistics and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Scientist
JOB00018,2025-06-07,MetroTech Labs,AI Engineer,Delhi NCR,Contract,Mid,15,20,"MetroTech Labs is hiring a AI Engineer in Delhi NCR. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include APIs, Airflow, Econometrics, LLM, LangChain, Machine Learning, Prompt Engineering, Python, RAG, Spark, Statistics, Tableau and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,AI Engineer
JOB00019,2025-07-23,FutureWorks Analytics,Associate Data Scientist,Coimbatore,Full-time,Associate,10,14,"FutureWorks Analytics is hiring a Associate Data Scientist in Coimbatore. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, ETL, LLM, LangChain, Machine Learning, Model Evaluation, Prompt Engineering, Python, RAG, SQL, Scikit-learn, Semantic Search, Spark and Statistics. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Scientist
JOB00020,2025-08-04,PeopleData Systems,Business Analyst,Hyderabad,Internship,Mid,13,17,"PeopleData Systems is hiring a Business Analyst in Hyderabad. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Business Recommendations, Data Visualization, Excel, Gemini API, KPI Reporting, LLM, LangChain, Model Evaluation, OpenAI API, Prompt Engineering, SQL, Stakeholder Communication and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Business Analyst
JOB00021,2025-09-17,InsightWorks Global,Associate Research Analyst,Pune,Full-time,Associate,7,15,"InsightWorks Global is hiring a Associate Research Analyst in Pune. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, ETL, Econometrics, Economic Analysis, LLM, LangChain, Market Research, OpenAI API, Prompt Engineering, SQL, Scikit-learn, Semantic Search, Statistics and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Research Analyst
JOB00022,2025-10-19,InsightWorks Global,Associate ML Engineer,Chennai,Full-time,Associate,9,19,"InsightWorks Global is hiring a Associate ML Engineer in Chennai. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include APIs, Airflow, Docker, ETL, Econometrics, Excel, LLM, MLOps, Machine Learning, Model Evaluation, Python, Scikit-learn, Semantic Search and Statistics. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,ML Engineer
JOB00023,2025-11-25,PeopleData Systems,ML Engineer,Pune,Full-time,Mid,13,23,"PeopleData Systems is hiring a ML Engineer in Pune. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include APIs, Docker, Excel, Gemini API, LangChain, MLOps, Machine Learning, Model Evaluation, OpenAI API, Prompt Engineering, Python, RAG, Scikit-learn, Statistics, Tableau and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,ML Engineer
JOB00024,2025-12-25,QuantEdge Solutions,Junior Business Analyst,Pune,Internship,Entry,7,17,"QuantEdge Solutions is hiring a Junior Business Analyst in Pune. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Business Recommendations, Data Visualization, Excel, Gemini API, KPI Reporting, Machine Learning, Power BI, Python, SQL, Stakeholder Communication, Statistics and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Business Analyst
JOB00025,2026-01-18,TalentGraph AI,Associate NLP Engineer,Coimbatore,Full-time,Associate,9,18,"TalentGraph AI is hiring a Associate NLP Engineer in Coimbatore. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Econometrics, Excel, Gemini API, Information Extraction, LLM, LangChain, Natural Language Processing, OpenAI API, Power BI, Prompt Engineering, Python, RAG, Semantic Search, Sentence Transformers, Statistics and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,NLP Engineer
JOB00026,2026-02-07,QuantEdge Solutions,Data Scientist,Delhi NCR,Full-time,Mid,15,23,"QuantEdge Solutions is hiring a Data Scientist in Delhi NCR. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Data Visualization, Econometrics, Gemini API, LangChain, Machine Learning, Model Evaluation, OpenAI API, Python, RAG, SQL, Scikit-learn, Statistics, Tableau and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Scientist
JOB00027,2026-03-24,BrightPath Analytics,Associate AI Engineer,Pune,Full-time,Associate,12,17,"BrightPath Analytics is hiring a Associate AI Engineer in Pune. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include APIs, Airflow, ETL, LLM, LangChain, Machine Learning, Model Evaluation, OpenAI API, Prompt Engineering, Python, RAG, Scikit-learn, Semantic Search and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,AI Engineer
JOB00028,2026-04-15,PeopleData Systems,Associate Data Analyst,Remote India,Full-time,Associate,6,16,"PeopleData Systems is hiring a Associate Data Analyst in Remote India. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Data Visualization, Econometrics, Excel, Gemini API, KPI Reporting, Model Evaluation, Power BI, RAG, SQL, Semantic Search, Spark, Statistics, Tableau and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Analyst
JOB00029,2026-05-01,SkillBridge Insights,Research Analyst,Chennai,Full-time,Mid,10,16,"SkillBridge Insights is hiring a Research Analyst in Chennai. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, ETL, Econometrics, Economic Analysis, Excel, LangChain, Market Research, OpenAI API, Prompt Engineering, RAG, SQL, Statistics and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Research Analyst
JOB00030,2024-01-19,QuantEdge Solutions,Senior Data Engineer,Remote India,Full-time,Senior,22,26,"QuantEdge Solutions is hiring a Senior Data Engineer in Remote India. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Data Engineering, Data Visualization, Data Warehousing, ETL, Python, SQL and Spark. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Engineer
JOB00031,2024-02-14,MetroTech Labs,Senior Business Analyst,Remote India,Full-time,Senior,18,24,"MetroTech Labs is hiring a Senior Business Analyst in Remote India. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Business Recommendations, Data Visualization, Excel, KPI Reporting, Machine Learning, Model Evaluation, Power BI, SQL, Spark and Stakeholder Communication. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Business Analyst
JOB00032,2024-03-15,CareerMap Technologies,Data Analyst,Noida,Full-time,Mid,11,15,"CareerMap Technologies is hiring a Data Analyst in Noida. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, Excel, KPI Reporting, Machine Learning, Power BI, SQL, Scikit-learn, Statistics and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Analyst
JOB00033,2024-04-08,CareerMap Technologies,Data Engineer,Gurgaon,Full-time,Mid,14,23,"CareerMap Technologies is hiring a Data Engineer in Gurgaon. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Data Engineering, Data Visualization, Data Warehousing, ETL, Excel, Python, SQL, Spark and Statistics. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Engineer
JOB00034,2024-05-15,PeopleData Systems,Junior Data Analyst,Pune,Full-time,Entry,5,11,"PeopleData Systems is hiring a Junior Data Analyst in Pune. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, Econometrics, Excel, KPI Reporting, OpenAI API, Power BI, SQL, Spark, Statistics and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Analyst
JOB00035,2024-06-08,PeopleData Systems,ML Engineer,Chennai,Full-time,Mid,14,18,"PeopleData Systems is hiring a ML Engineer in Chennai. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include APIs, Data Visualization, Docker, MLOps, Machine Learning, Model Evaluation, Power BI, Python, RAG and Scikit-learn. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,ML Engineer
JOB00036,2024-07-09,CareerMap Technologies,Research Analyst,Bangalore,Full-time,Mid,11,21,"CareerMap Technologies is hiring a Research Analyst in Bangalore. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Data Visualization, ETL, Econometrics, Economic Analysis, LLM, Market Research, RAG, SQL, Semantic Search, Statistics and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Research Analyst
JOB00037,2024-08-17,CareerMap Technologies,Senior NLP Engineer,Mumbai,Internship,Senior,23,32,"CareerMap Technologies is hiring a Senior NLP Engineer in Mumbai. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Econometrics, Gemini API, Information Extraction, LLM, LangChain, Natural Language Processing, OpenAI API, Prompt Engineering, Python, RAG, SQL, Semantic Search, Sentence Transformers and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,NLP Engineer
JOB00038,2024-09-20,FutureWorks Analytics,Associate NLP Engineer,Pune,Full-time,Associate,10,17,"FutureWorks Analytics is hiring a Associate NLP Engineer in Pune. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, ETL, Gemini API, Information Extraction, LLM, Natural Language Processing, Python, RAG, SQL, Semantic Search, Sentence Transformers, Spark, Statistics and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,NLP Engineer
JOB00039,2024-10-04,PeopleData Systems,Senior NLP Engineer,Remote India,Full-time,Senior,22,30,"PeopleData Systems is hiring a Senior NLP Engineer in Remote India. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Excel, Gemini API, Information Extraction, LLM, Model Evaluation, Natural Language Processing, Prompt Engineering, Python, RAG, SQL, Scikit-learn, Semantic Search, Sentence Transformers and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,NLP Engineer
JOB00040,2024-11-02,TalentGraph AI,Data Engineer,Coimbatore,Full-time,Mid,15,25,"TalentGraph AI is hiring a Data Engineer in Coimbatore. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Data Engineering, Data Warehousing, ETL, Excel, LangChain, Machine Learning, Model Evaluation, Python, SQL, Semantic Search, Spark, Tableau and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Engineer
JOB00041,2024-12-25,CareerMap Technologies,Associate AI Engineer,Bangalore,Full-time,Associate,11,18,"CareerMap Technologies is hiring a Associate AI Engineer in Bangalore. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include APIs, Airflow, ETL, Econometrics, Excel, Gemini API, LLM, LangChain, Power BI, Prompt Engineering, Python, RAG and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,AI Engineer
JOB00042,2025-01-23,FutureWorks Analytics,NLP Engineer,Noida,Full-time,Mid,14,21,"FutureWorks Analytics is hiring a NLP Engineer in Noida. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Econometrics, Information Extraction, LLM, Model Evaluation, Natural Language Processing, OpenAI API, Power BI, Prompt Engineering, Python, RAG, SQL, Semantic Search and Sentence Transformers. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,NLP Engineer
JOB00043,2025-02-16,SkillBridge Insights,Research Analyst,Coimbatore,Full-time,Mid,11,18,"SkillBridge Insights is hiring a Research Analyst in Coimbatore. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, Econometrics, Economic Analysis, LLM, Market Research, Model Evaluation, Prompt Engineering, SQL, Statistics and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Research Analyst
JOB00044,2025-03-18,Nexa Workforce,NLP Engineer,Gurgaon,Full-time,Mid,13,20,"Nexa Workforce is hiring a NLP Engineer in Gurgaon. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Econometrics, Gemini API, Information Extraction, LLM, Natural Language Processing, Prompt Engineering, Python, RAG, Semantic Search, Sentence Transformers, Spark, Statistics, Tableau and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,NLP Engineer
JOB00045,2025-04-02,BrightPath Analytics,Senior Data Scientist,Delhi NCR,Contract,Senior,22,32,"BrightPath Analytics is hiring a Senior Data Scientist in Delhi NCR. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, Excel, Gemini API, LangChain, Machine Learning, Model Evaluation, OpenAI API, Power BI, Prompt Engineering, Python, SQL, Scikit-learn and Statistics. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Scientist
JOB00046,2025-05-22,QuantEdge Solutions,Business Analyst,Delhi NCR,Contract,Mid,13,18,"QuantEdge Solutions is hiring a Business Analyst in Delhi NCR. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Business Recommendations, Data Visualization, Econometrics, Excel, KPI Reporting, LangChain, Power BI, Python, SQL, Semantic Search, Stakeholder Communication, Statistics and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Business Analyst
JOB00047,2025-06-23,FutureWorks Analytics,Associate ML Engineer,Chennai,Full-time,Associate,10,15,"FutureWorks Analytics is hiring a Associate ML Engineer in Chennai. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include APIs, Docker, LLM, MLOps, Machine Learning, Model Evaluation, OpenAI API, Power BI, Prompt Engineering, Python, Scikit-learn, Semantic Search, Statistics and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,ML Engineer
JOB00048,2025-07-15,CareerMap Technologies,AI Engineer,Mumbai,Contract,Mid,16,20,"CareerMap Technologies is hiring a AI Engineer in Mumbai. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include APIs, Data Visualization, ETL, Excel, Gemini API, LLM, LangChain, Machine Learning, Power BI, Prompt Engineering, Python, RAG, SQL, Semantic Search and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,AI Engineer
JOB00049,2025-08-08,Nexa Workforce,Associate NLP Engineer,Noida,Full-time,Associate,10,20,"Nexa Workforce is hiring a Associate NLP Engineer in Noida. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include ETL, Econometrics, Gemini API, Information Extraction, LLM, LangChain, Model Evaluation, Natural Language Processing, Python, RAG, Semantic Search and Sentence Transformers. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,NLP Engineer
JOB00050,2025-09-08,Nexa Workforce,AI Engineer,Pune,Full-time,Mid,14,19,"Nexa Workforce is hiring a AI Engineer in Pune. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include APIs, ETL, Econometrics, Gemini API, LLM, LangChain, OpenAI API, Prompt Engineering, Python, RAG, SQL, Spark and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,AI Engineer
