skill,forecast_month,forecast_mentions,model_mae,optimization_objective,forecast_method,scipy_function
Scikit-learn,2026-06,13.07,1.222,2.2201,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Scikit-learn,2026-07,13.04,1.222,2.2201,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Scikit-learn,2026-08,17.34,1.222,2.2201,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Scikit-learn,2026-09,16.66,1.222,2.2201,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Scikit-learn,2026-10,18.27,1.222,2.2201,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Scikit-learn,2026-11,21.03,1.222,2.2201,scipy_optimized_regression_with_lags,scipy.optimize.minimize
LangChain,2026-06,14.11,0.061,0.1147,scipy_optimized_regression_with_lags,scipy.optimize.minimize
LangChain,2026-07,11.31,0.061,0.1147,scipy_optimized_regression_with_lags,scipy.optimize.minimize
LangChain,2026-08,23.86,0.061,0.1147,scipy_optimized_regression_with_lags,scipy.optimize.minimize
LangChain,2026-09,14.22,0.061,0.1147,scipy_optimized_regression_with_lags,scipy.optimize.minimize
LangChain,2026-10,11.63,0.061,0.1147,scipy_optimized_regression_with_lags,scipy.optimize.minimize
LangChain,2026-11,23.73,0.061,0.1147,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Semantic Search,2026-06,9.82,0.905,1.4008,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Semantic Search,2026-07,10.29,0.905,1.4008,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Semantic Search,2026-08,10.02,0.905,1.4008,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Semantic Search,2026-09,10.62,0.905,1.4008,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Semantic Search,2026-10,10.95,0.905,1.4008,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Semantic Search,2026-11,11.02,0.905,1.4008,scipy_optimized_regression_with_lags,scipy.optimize.minimize
